estimator,estimate,se,truth,bias,note
Naive OLS: sold<=60d,-0.4850848987545214,0.23292447758272236,-4.5614040203957975,4.076319121641276,U and local demand heat confound list price
2SLS: randomized list-price arm,-5.445407629601338,0.4454893202013833,-4.5614040203957975,-0.8840036092055401,"first-stage F = 2,229"
Naive OLS: log DOM (theta/100),0.002777101949034057,0.005511697687458278,0.12,-0.11722289805096593,
2SLS: log DOM (theta/100),0.13343482731998813,0.011082849042189865,0.12,0.01343482731998813,
